name,short_name,type
acceptednameusage,anu,string
acceptednameusageid,anuid,string
accessrights,ar,string
associatedmedia,am,string
associatedoccurrences,ao,string
associatedreferences,ar,string
associatedsequences,as,string
associatedtaxa,at,string
basisofrecord,br,string
bed,bd,string
behavior,b,string
bibliographiccitation,bc,string
catalognumber,cat,string
class,cl,string
collectioncode,cc,string
collectionid,cid,string
continent,ct,string
coordinateprecision,cp,string
coordinateuncertaintyinmeters,cu,int
country,cn,string
countrycode,cnc,string
county,co,string
datageneralizations,dg,string
datasetid,did,string
datasetname,dn,string
dateidentified,di,string
day,d,int
decimallatitude,dlat,float
decimallongitude,dlng,float
disposition,dsp,string
dynamicproperties,dp,string
earliestageorloweststage,eage,string
earliesteonorlowesteonothem,eeon,string
earliestepochorlowestseries,eep,string
earliesteraorlowesterathem,eera,string
earliestperiodorlowestsystem,ep,string
enddayofyear,edy,int
establishmentmeans,em,string
eventdate,ed,string
eventid,eid,string
eventremarks,er,string
eventtime,et,string
family,fm,string
fieldnotes,fnt,string
fieldnumber,fnm,string
footprintspatialfit,fpsf,float
footprintsrs,fps,string
footprintwkt,fp,string
formation,frm,string
genus,g,string
geodeticdatum,gd,string
geologicalcontextid,gid,string
georeferencedby,gb,string
georeferenceprotocol,gp,string
georeferenceremarks,gr,string
georeferencesources,gs,string
georeferenceverificationstatus,gvs,string
group,grp,string
habitat,h,string
higherclassification,hc,string
highergeography,hg,string
highergeographyid,hgid,string
highestbiostratigraphiczone,hbz,string
identificationid,idid,string
identificationqualifier,iq,string
identificationreferences,irf,string
identificationremarks,irm,string
identifiedby,ib,string
individualcount,ic,int
individualid,indid,string
informationwithheld,iw,string
infraspecificepithet,ise,string
institutioncode,ic,string
institutionid,iid,string
island,i,string
islandgroup,ig,string
kingdom,k,string
language,ln,string
latestageorhigheststage,lage,string
latesteonorhighesteonothem,leon,string
latestepochorhighestseries,lep,string
latesteraorhighesterathem,lera,string
latestperiodorhighestsystem,lp,string
lifestage,ls,string
lithostratigraphicterms,lt,string
locality,l,string
locationaccordingto,lcat,string
locationid,lid,string
locationremarks,lr,string
lowestbiostratigraphiczone,lbz,string
maximumdepthinmeters,mxd,int
maximumdistanceabovesurfaceinmeters,mxa,int
maximumelevationinmeters,mxe,int
member,mem,string
minimumdepthinmeters,mnd,int
minimumdistanceabovesurfaceinmeters,mna,int
minimumelevationinmeters,mne,int
modified,md,string
month,m,int
municipality,mn,string
nameaccordingto,nat,string
nameaccordingtoid,natid,string
namepublishedin,np,string
namepublishedinid,npid,string
nomenclaturalcode,nc,string
nomenclaturalstatus,ns,string
occurrencedetails,od,string
occurrenceid,oid,string
occurrenceremarks,or,string
occurrencestatus,os,string
order,ord,string
originalnameusage,onu,string
originalnameusageid,onuid,string
othercatalognumbers,ocn,string
ownerinstitutioncode,oic,string
parentnameusage,pnu,string
parentnameusageid,pnuid,string
phylum,ph,string
pointradiusspatialfit,prsf,string
preparations,p,string
previousidentifications,pi,string
recordedby,rb,string
recordnumber,rn,string
reproductivecondition,rc,string
rights,r,string
rightsholder,rh,string
samplingeffort,sme,string
samplingprotocol,smp,string
scientificname,sn,string
scientificnameauthorship,sna,string
scientificnameid,sid,string
sex,sx,string
specificepithet,se,string
startdayofyear,sdy,int
stateprovince,sp,string
subgenus,sg,string
taxonconceptid,tcid,string
taxonid,tid,string
taxonomicstatus,ts,string
taxonrank,tr,string
taxonremarks,trm,string
type,t,string
typestatus,ts,string
verbatimcoordinates,vc,string
verbatimcoordinatesystem,vcs,string
verbatimdepth,vd,string
verbatimelevation,ve,string
verbatimeventdate,ved,string
verbatimlatitude,vlat,string
verbatimlocality,vl,string
verbatimlongitude,vlng,string
verbatimsrs,vs,string
verbatimtaxonrank,vtr,string
vernacularname,vn,string
waterbody,w,string
year,y,int
